tags;type;fill;outline;smooth;coords
czech;polygon;blue;black;0;[372.0, 367.0, 393.0, 373.0, 398.0, 381.0, 370.0, 390.0, 360.0, 374.0]
czech;point;red;black;0;[374.0, 377.0]
slovakia;polygon;blue;black;0;[424.0, 384.0, 425.0, 391.0, 389.0, 394.0, 400.0, 377.0]
slovakia;point;red;black;0;[407.0, 386.0]
italy;polygon;blue;black;0;[361.0, 407.0, 399.0, 462.0, 379.0, 495.0, 334.0, 473.0, 324.0, 421.0]
italy;point;red;black;0;[371.0, 458.0]
slovenia;polygon;blue;black;0;[383.0, 408.0, 373.0, 419.0, 364.0, 410.0]
slovenia;point;red;black;0;[371.0, 412.0]
hungary;polygon;blue;black;0;[426.0, 391.0, 414.0, 414.0, 384.0, 411.0, 389.0, 396.0]
hungary;point;red;black;0;[407.0, 402.0]
croatia;polygon;blue;black;0;[403.0, 422.0, 403.0, 415.0, 386.0, 411.0, 371.0, 418.0, 389.0, 445.0, 384.0, 422.0]
croatia;point;red;black;0;[378.0, 421.0]
bosher;polygon;blue;black;0;[403.0, 421.0, 407.0, 433.0, 397.0, 445.0, 387.0, 428.0]
bosher;point;red;black;0;[395.0, 430.0]
montenegro;polygon;blue;black;0;[413.0, 441.0, 404.0, 451.0, 399.0, 445.0, 405.0, 436.0]
montenegro;point;red;black;0;[405.0, 443.0]
serbia;polygon;blue;black;0;[413.0, 414.0, 426.0, 426.0, 427.0, 446.0, 418.0, 448.0, 407.0, 435.0, 404.0, 414.0]
serbia;point;red;black;0;[413.0, 431.0]
albania;polygon;blue;black;0;[414.0, 449.0, 418.0, 459.0, 409.0, 470.0, 405.0, 453.0]
albania;point;red;black;0;[410.0, 459.0]
macedonia;polygon;blue;black;0;[427.0, 445.0, 431.0, 455.0, 420.0, 460.0, 415.0, 449.0]
macedonia;point;red;black;0;[422.0, 453.0]
greece;polygon;blue;black;0;[446.0, 454.0, 468.0, 506.0, 426.0, 507.0, 410.0, 470.0, 436.0, 453.0]
greece;point;red;black;0;[432.0, 482.0]
bulgaria;polygon;blue;black;0;[467.0, 430.0, 471.0, 459.0, 434.0, 454.0, 427.0, 432.0]
bulgaria;point;red;black;0;[447.0, 444.0]
romania;polygon;blue;black;0;[454.0, 389.0, 467.0, 430.0, 427.0, 432.0, 414.0, 414.0, 426.0, 391.0]
romania;point;red;black;0;[435.0, 412.0]
moldova;polygon;blue;black;0;[468.0, 388.0, 477.0, 407.0, 467.0, 430.0, 454.0, 389.0]
moldova;point;red;black;0;[465.0, 403.0]
ukraine;polygon;blue;black;0;[487.0, 351.0, 542.0, 372.0, 524.0, 413.0, 480.0, 409.0, 470.0, 388.0, 427.0, 389.0, 438.0, 355.0]
ukraine;point;red;black;0;[482.0, 378.0]
belarus;polygon;blue;black;0;[489.0, 312.0, 492.0, 350.0, 438.0, 355.0, 461.0, 312.0]
belarus;point;red;black;0;[470.0, 334.0]
russia;polygon;blue;black;0;[478.0, 88.0, 628.0, 42.0, 604.0, 456.0, 524.0, 413.0, 542.0, 372.0, 492.0, 350.0, 489.0, 312.0, 461.0, 312.0, 465.0, 266.0, 485.0, 234.0, 470.0, 111.0, 481.0, 101.0]
russia;point;red;black;0;[566.0, 281.0]
