rockymountains;Rocky Mountains

greatbasin;Great Basin

appalachians;the Appalachians

mississippi;Mississippi

andes;the Andes

amazon;Amazon

parana;Parana

congo;Congo

niger;Niger

atlas;Atlas

sahara;Sahara

nile;Nile

alps;Alps

danube;Danube

volga;Volga

urals;Urals

ob;Ob

arabia;Arabian

indus;Indus

taklamakan;Taklamakan

himalayas;Himalayas

ganges;Ganges

kalahari;Kalahari

greatvictorian;Great Victorian desert

