kazakstan;哈薩克
mongolia;蒙古國
china;中國
india;印度
nepal;尼泊爾
bangladesh;孟加拉國
burma;緬
thailand;泰國
laos;老撾
cambodia;柬埔寨
vietnam;越南
northkorea;朝鮮
southkorea;大韓
japan;日本
srilanka;斯里蘭卡
maldives;馬爾代夫
malaysia;馬來西亞
brunei;文萊
easttimor;東帝汶
indonesia;印尼亞
philippines;菲律賓
bhutan;不丹
singapore;新加坡
