northamerica;North America

southamerica;South America

antarctica;Antarctica

africa;Africa

europe;Europe

asia;Asia

australia;Australia

atlanticocean;the Atlantic Ocean

pacificocean;the Pacific Ocean

indianocean;the Indian Ocean

southernocean;the Southern Ocean

arcticocean;the Arctic ocean

