amur;黑龙江
yellowriver;黄河
yangtze;长江
pearlriver;珠江
mekongriver;湄公河
brahmaputra;雅鲁藏布江
himalaya;喜马拉雅
kunlun;昆崙山
tianshan;天山
tarimbasin;塔里木盆地
tibetanplateau;青藏高原
beihengshan;北恒山
wutaishan;五台山
huashan;华山
songshan;嵩山
taishan;泰山
putuoshan;普陀山
jiuhuashan;九华山
nanhengshan;南衡山
emeishan;峨眉山
