shanghai;上海
beijing;北京
tianjin;天津
wuhan;武汉
shenyang;沈阳
guangzhou;广州
harbin;哈尔滨
xian;西安
chongqing;重庆
jiulong;九龙
chengdu;成都
changchun;長春
nanjing;南京
taiyuan;太原
jinan;济南
dalian;大连
qingdao;青岛
fushun;抚顺
lanzhou;兰州
xianggang;香港
taibei;台北
lasa;拉萨


