shanghai;上海
beijing;北京
tianjin;天津
wuhan;武漢
shenyang;沈阳;瀋陽
guangzhou;廣州
harbin;哈爾濱
xian;西安
chongqing;重慶
jiulong;九龍
chengdu;成都
changchun;長春
nanjing;南京
taiyuan;太原
jinan;濟南
dalian;大連
qingdao;青島
fushun;撫順
lanzhou;蘭州
xianggang;香港;香港
taibei;臺北
lasa;拉薩


