shanghai;Shang4hai3
beijing;Bei3jing1
tianjin;Tian1jin1
wuhan;Wu3han4
shenyang;Shen3yang2
guangzhou;Guang3zhou1
harbin;Ha1'er3bin1
xian;Xi1'an1
chongqing;Chong2qing4
jiulong;Jiu3long2
chengdu;Cheng2du1
changchun;Chang2chun1
nanjing;Nan2jing1
taiyuan;Tai4yuan2
jinan;Ji3nan2
dalian;Da4lian2
qingdao;Qing1dao3
fushun;Fu3shun4
lanzhou;Lan2zhou1
xianggang;Xiang1gang3
taibei;Tai2bei3
lasa;La1sa4


