colombia;Colombia

venezuela;Venezuela

guyana;Guyana

surinam;Surinam

frenchguyana;French Guyana

brazil;Brazil

ecuador;Ecuador

peru;Peru

bolivia;Bolivia

paraguay;Paraguay

uruguay;Uruguay

argentina;Argentina

chile;Chile

